"AphiaID","phylum","class","order","family","genus","species","records","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
343926,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna aurantia",,,,FALSE,TRUE,FALSE,"VU","VU","river tern, sterne de rivière","birds"
212606,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna bergii",,,,FALSE,TRUE,FALSE,,,"greater crested tern, Sterne huppée","birds"
137162,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo",,,,FALSE,TRUE,FALSE,"LC","LC","common tern, sterne pierregarin","birds"
567480,"Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons",,,,FALSE,TRUE,FALSE,"LC","LC","little tern","birds"
159029,"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa erythropus",,,,FALSE,TRUE,FALSE,"LC","LC","spotted redshank, chevalier arlequin","birds"
158968,"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa nebularia",,,,FALSE,TRUE,FALSE,"LC","LC","common greenshank, chevalier aboyeur","birds"
212623,"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa stagnatilis",,,,FALSE,TRUE,FALSE,"LC","LC","marsh sandpiper, chevalier stagnatile","birds"
158970,"Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa totanus",,,,FALSE,TRUE,FALSE,"LC","LC","redshank, chevalier gambette","birds"
212602,"Chordata","Aves","Charadriiformes","Scolopacidae","Xenus","Xenus cinereus",,,,FALSE,TRUE,FALSE,"LC","LC","terek sandpiper","birds"
212666,"Chordata","Aves","Ciconiiformes","Ardeidae","Ardea","Ardea goliath",,,,FALSE,TRUE,FALSE,"LC","LC","Goliath heron, héron goliath","birds"
212661,"Chordata","Aves","Ciconiiformes","Ardeidae","Butorides","Butorides striata",,,,FALSE,TRUE,FALSE,"LC","LC","green-backed heron, héron strié","birds"
