"AphiaID","phylum","class","order","family","genus","species","records","max_year","target_gene","source_obis","source_gbif","source_dna","category","redlist_category","vernacular","group"
158884,"Chordata","Teleostei","Aulopiformes","Synodontidae","Trachinocephalus","Trachinocephalus myops",2,1933,,TRUE,FALSE,FALSE,"LC","LC","snakefish","fish"
278734,"Chordata","Teleostei","Beloniformes","Exocoetidae","Cypselurus","Cypselurus opisthopus",2,1933,,TRUE,FALSE,FALSE,,,,"fish"
219242,"Chordata","Teleostei","Blenniiformes","Blenniidae","Aspidontus","Aspidontus taeniatus",2,1933,,TRUE,FALSE,FALSE,"LC","LC","mimic blenny","fish"
219250,"Chordata","Teleostei","Blenniiformes","Blenniidae","Blenniella","Blenniella cyanostigma",1,1953,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
219249,"Chordata","Teleostei","Blenniiformes","Blenniidae","Blenniella","Blenniella periophthalmus",1,1953,,TRUE,FALSE,FALSE,"LC","LC","blue-dashed rockskipper","fish"
277319,"Chordata","Teleostei","Blenniiformes","Tripterygiidae","Enneapterygius","Enneapterygius minutus",1,1953,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
219294,"Chordata","Teleostei","Blenniiformes","Blenniidae","Istiblennius","Istiblennius edentulus",1,1953,,TRUE,FALSE,FALSE,"LC","LC","rockskipper","fish"
282328,"Chordata","Teleostei","Blenniiformes","Blenniidae","Praealticus","Praealticus bilineatus",2,1933,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
219344,"Chordata","Teleostei","Blenniiformes","Blenniidae","Xiphasia","Xiphasia matsubarai",2,1965,,TRUE,TRUE,FALSE,"LC","LC",,"fish"
218419,"Chordata","Teleostei","Carangiformes","Carangidae","Caranx","Caranx melampygus",2,1933,,TRUE,FALSE,FALSE,"LC","LC","bluefin trevally","fish"
126845,"Chordata","Teleostei","Carangiformes","Coryphaenidae","Coryphaena","Coryphaena equiselis",2,1933,,TRUE,FALSE,FALSE,"LC","LC","pompano dolphin","fish"
712905,"Chordata","Teleostei","Carangiformes","Istiophoridae","Istiompax","Istiompax indica",4,2015,,TRUE,FALSE,FALSE,"DD","DD",,"fish"
159646,"Chordata","Teleostei","Carangiformes","Carangidae","Selar","Selar crumenophthalmus",2,1933,,TRUE,FALSE,FALSE,"LC","LC","bigeye scad","fish"
126424,"Chordata","Teleostei","Clupeiformes","Spratelloididae","Spratelloides","Spratelloides delicatulus",2,1933,,TRUE,FALSE,FALSE,"LC","LC","delicate round herring","fish"
218523,"Chordata","Teleostei","Eupercaria incertae sedis","Gerreidae","Gerres","Gerres macracanthus",1,1933,,TRUE,FALSE,FALSE,,,,"fish"
273768,"Chordata","Teleostei","Eupercaria incertae sedis","Priacanthidae","Priacanthus","Priacanthus tayenus",2,1933,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
212213,"Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Thalassoma","Thalassoma purpureum",1,1953,,TRUE,FALSE,FALSE,"LC","LC","surge wrasse","fish"
219356,"Chordata","Teleostei","Gobiiformes","Eleotridae","Eleotris","Eleotris fusca",1,1953,,TRUE,FALSE,FALSE,"LC","LC","dusky sleeper","fish"
278580,"Chordata","Teleostei","Gobiiformes","Gobiidae","Eviota","Eviota afelei",2,1933,,TRUE,FALSE,FALSE,"LC","LC","Afele's fringefin goby","fish"
309999,"Chordata","Teleostei","Gobiiformes","Gobiidae","Gobiodon","Gobiodon erythrospilus",2,1933,,TRUE,FALSE,FALSE,"VU","VU",,"fish"
276654,"Chordata","Teleostei","Gobiiformes","Kraemeriidae","Kraemeria","Kraemeria galatheaensis",2,1951,,TRUE,FALSE,FALSE,,,,"fish"
219535,"Chordata","Teleostei","Gobiiformes","Gobiidae","Paragobiodon","Paragobiodon echinocephalus",4,1933,,TRUE,FALSE,FALSE,"LC","LC","redhead goby","fish"
217929,"Chordata","Teleostei","Holocentriformes","Holocentridae","Neoniphon","Neoniphon opercularis",2,1933,,TRUE,FALSE,FALSE,"LC","LC","black squirrelfish","fish"
217950,"Chordata","Teleostei","Holocentriformes","Holocentridae","Sargocentron","Sargocentron spiniferum",2,1933,,TRUE,FALSE,FALSE,"LC","LC","sabre squirrelfish","fish"
1043477,"Chordata","Teleostei","Mugiliformes","Mugilidae","Crenimugil","Crenimugil seheli",2,1933,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
218878,"Chordata","Teleostei","Mugiliformes","Mugilidae","Ellochelon","Ellochelon vaigiensis",1,1933,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
218647,"Chordata","Teleostei","Mulliformes","Mullidae","Mulloidichthys","Mulloidichthys flavolineatus",4,1933,,TRUE,FALSE,FALSE,"LC","LC","yellowstripe goatfish","fish"
277826,"Chordata","Teleostei","Mulliformes","Mullidae","Parupeneus","Parupeneus trifasciatus",2,1933,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
272720,"Chordata","Teleostei","Myctophiformes","Myctophidae","Myctophum","Myctophum brachygnathum",2,1933,,TRUE,FALSE,FALSE,,,,"fish"
212888,"Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf sordidus",1,1953,,TRUE,FALSE,FALSE,"LC","LC","blackspot sergeant","fish"
212812,"Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Chromis","Chromis atripectoralis",6,1933,,TRUE,FALSE,FALSE,"LC","LC","black-axil chromis","fish"
276827,"Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera","Chrysiptera brownriggii",1,1953,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
218783,"Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Chrysiptera","Chrysiptera glauca",1,1953,,TRUE,FALSE,FALSE,"LC","LC","grey demoiselle","fish"
212843,"Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dascyllus","Dascyllus aruanus",2,1933,,TRUE,FALSE,FALSE,"LC","LC","banded dascyllus","fish"
278451,"Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Dascyllus","Dascyllus melanurus",2,1933,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
218849,"Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Stegastes","Stegastes nigricans",2,1933,,TRUE,FALSE,FALSE,"LC","LC","black damselfish","fish"
218242,"Chordata","Teleostei","Perciformes","Serranidae","Epinephelus","Epinephelus melanostigma",1,1953,,TRUE,FALSE,FALSE,"LC","LC","one-blotch grouper","fish"
218228,"Chordata","Teleostei","Perciformes","Serranidae","Epinephelus","Epinephelus merra",4,1933,,TRUE,FALSE,FALSE,"LC","LC","honeycomb grouper","fish"
219147,"Chordata","Teleostei","Perciformes","Pinguipedidae","Parapercis","Parapercis millepunctata",2,1933,,TRUE,FALSE,FALSE,"LC","LC","blackdotted sand perch","fish"
218065,"Chordata","Teleostei","Perciformes","Scorpaenidae","Parascorpaena","Parascorpaena aurita",2,1933,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
218282,"Chordata","Teleostei","Perciformes","Serranidae","Pseudogramma","Pseudogramma polyacantha",2,1933,,TRUE,FALSE,FALSE,"LC","LC","honeycomb podge","fish"
217964,"Chordata","Teleostei","Syngnathiformes","Aulostomidae","Aulostomus","Aulostomus chinensis",2,1933,,TRUE,FALSE,FALSE,"LC","LC","Chinese trumpetfish","fish"
217994,"Chordata","Teleostei","Syngnathiformes","Syngnathidae","Corythoichthys","Corythoichthys nigripectus",1,1933,,TRUE,FALSE,FALSE,"LC","LC",,"fish"
159439,"Chordata","Teleostei","Syngnathiformes","Fistulariidae","Fistularia","Fistularia petimba",2,1933,,TRUE,FALSE,FALSE,"LC","LC","red cornetfish","fish"
219874,"Chordata","Teleostei","Tetraodontiformes","Balistidae","Balistapus","Balistapus undulatus",2,1933,,TRUE,FALSE,FALSE,"LC","LC","orangestriped","fish"
219945,"Chordata","Teleostei","Tetraodontiformes","Tetraodontidae","Canthigaster","Canthigaster solandri",2,1933,,TRUE,FALSE,FALSE,"LC","LC","spotted sharpnose","fish"
207409,"Cnidaria","Anthozoa","Malacalcyonacea","Tubiporidae","Tubipora","Tubipora musica",,,,FALSE,TRUE,FALSE,"NT","NT","organ-pipe coral","jellyfish"
207058,"Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora","Acropora florida",1,,,TRUE,TRUE,FALSE,"NT","NT",,"jellyfish"
207093,"Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora","Acropora granulosa",3,,,TRUE,TRUE,FALSE,"NT","NT",,"jellyfish"
288244,"Cnidaria","Anthozoa","Scleractinia","Acroporidae","Acropora","Acropora sarmentosa",3,,,TRUE,TRUE,FALSE,"LC","LC",,"jellyfish"
504547,"Mollusca","Bivalvia","Arcida","Glycymerididae","Tucetona","Tucetona pectunculus",,,,FALSE,TRUE,FALSE,,,,"molluscs"
215546,"Mollusca","Gastropoda","Neogastropoda","Conidae","Conus","Conus canonicus",,,,FALSE,TRUE,FALSE,"LC","LC",,"molluscs"
215520,"Mollusca","Gastropoda","Neogastropoda","Conidae","Conus","Conus generalis",,,,FALSE,TRUE,FALSE,"LC","LC","general cone","molluscs"
215501,"Mollusca","Gastropoda","Neogastropoda","Conidae","Conus","Conus imperialis",,,,FALSE,TRUE,FALSE,"LC","LC","imperial cone","molluscs"
215457,"Mollusca","Gastropoda","Neogastropoda","Conidae","Conus","Conus marmoreus",,,,FALSE,TRUE,FALSE,"LC","LC","marble cone","molluscs"
428212,"Mollusca","Gastropoda","Neogastropoda","Conidae","Conus","Conus monile",,,,FALSE,TRUE,FALSE,"LC","LC","necklace cone","molluscs"
428363,"Mollusca","Gastropoda","Neogastropoda","Conidae","Conus","Conus stercusmuscarum",,,,FALSE,TRUE,FALSE,"LC","LC","fly-specked cone","molluscs"
215466,"Mollusca","Gastropoda","Neogastropoda","Conidae","Conus","Conus striatus",,,,FALSE,TRUE,FALSE,"LC","LC","striated cone","molluscs"
215550,"Mollusca","Gastropoda","Neogastropoda","Conidae","Conus","Conus terebra",,,,FALSE,TRUE,FALSE,"LC","LC",,"molluscs"
216382,"Mollusca","Gastropoda","Trochida","Turbinidae","Turbo","Turbo petholatus",,,,FALSE,TRUE,FALSE,,,"tapestry turban","molluscs"
733346,"Arthropoda","Thecostraca","Scalpellomorpha","Lepadidae","Lepas","Lepas (Lepas) anatifera",,,,FALSE,TRUE,FALSE,,,"duck barnacle, anatife commun",
344083,"Chordata",,"Squamata","Elapidae","Laticauda","Laticauda colubrina",9,1980,,TRUE,TRUE,FALSE,"LC","LC","yellow-lipped sea krait",
234490,"Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Acrostichum","Acrostichum speciosum",,,,FALSE,TRUE,FALSE,"LC","LC","mangrove fern",
